,Rid,RDate,Sentence,Sentiment,Rating,Loyalty
0,1,20/5/2013,"i have had this laptop a good few weeks now, tested it fully and know the positives and negatives.",40,0.8,0
1,1,20/5/2013,"i have been purchasing systems only from brandx for 6 years, hopefully my review will help you out.nice sleek, thin and comfortable designed laptop- the casing is very nice ridged texture that looks and feels brilliant.",60,0.8,0
2,1,20/5/2013,it does accumulate finger prints but nowhere near the level other systems do.,21,0.8,0
3,1,20/5/2013,it is also light weight.,50,0.8,0
4,1,20/5/2013,"screen is nice and wide, perfect for work, gaming and browsing the web.",67,0.8,0
5,1,20/5/2013,"it has a glossy glare which is really nice, easy to clean and good quality.",61,0.8,0
6,1,20/5/2013,bright and details are great.,73,0.8,0
7,1,20/5/2013,"the keyboard is perfect, easy to clean, stylish, nice quality feel and durable.",81,0.8,0
8,1,20/5/2013,"remember, black absorbs heat and makes it fade.",44,0.8,0
9,1,20/5/2013,"unfortunately i left mine in the sun and the keys have faded (that is my fault not the product) i am still looking to find a replacement, would be great if i could be directed.",9,0.8,0
10,1,20/5/2013,"trackpad feels great, very responsive and easy to use.",58,0.8,0
11,1,20/5/2013,left and right clickers (i made that word up) are very nice and feel like they are built with quality.,58,0.8,0
12,1,20/5/2013,"however, sometimes the mouse freezes for anywhere up to 40 seconds when opening numerous programs or running scans.",15,0.8,0
13,1,20/5/2013,this does get a little bit frustrating especially knowing it is an i3 processor.,33,0.8,0
14,1,20/5/2013,"the palm rest has a sharp-ish edge on it, but i am sure that will wear down with use.",51,0.8,0
15,1,20/5/2013,"i would say it lacks a bit of performance as it should load easy tasks in seconds, it does not always respond when i ask it to and some applications fail to load as quick as they should.",21,0.8,0
16,1,20/5/2013,"most of the time it works perfectly, it laggs very rarely.",50,0.8,0
17,1,20/5/2013,intel hd graphics is an integrated graphics card that is basic but still very good.,43,0.8,0
18,1,20/5/2013,"i play a standard browser based mmo that runs at 40-45 out of 50 frames per second, for me that is very good.",47,0.8,0
19,1,20/5/2013,"it also handles some games well such as skyrim, dirt and farcry at medium graphics.audio is great, very loud and clear.webcam is very nice, perfect for streaming, very high detailed with no 'jittering.",75,0.8,0
20,1,20/5/2013,"ports are good, the hdmi works perfectly and looks great with my tv.",61,0.8,0
21,1,20/5/2013,ac adapter is standard yet very durable and lightweight.,31,0.8,0
22,1,20/5/2013,"windows8 iseasy to use, quickly able to adapt from taking a first time leap from xp all the way to the newest os.",53,0.8,0
23,1,20/5/2013,"at first i was a bit pessimistic, but i am very happy with it is design, features and ease of use.",63,0.8,0
24,1,20/5/2013,service and delivery was great from brandx as usual.,56,0.8,0
25,1,20/5/2013,a very satisfied customer and i will not fail to recommend this product.,74,0.8,0
26,1,20/5/2013,"cons:disk tray is flimsy and not very well built when open, it still performs well.",24,0.8,0
27,1,20/5/2013,"the casing on the front of the screen (trim where the webcam is) feels 'plasticy, weak and cheap, the back is ridged and a nice design though.",37,0.8,0
28,1,20/5/2013,"overall rating from me, 8/10.",53,0.8,0
