,Rid,RDate,Sentence
0,1,20/5/2013,"i have had this laptop a good few weeks now, tested it fully and know the positives and negatives."
1,1,20/5/2013,"it has a glossy glare which is really nice, easy to clean and good quality."
2,1,20/5/2013,"remember, black absorbs heat and makes it fade."
3,1,20/5/2013,"unfortunately i left mine in the sun and the keys have faded (that is my fault not the product) i am still looking to find a replacement, would be great if i could be directed."
4,1,20/5/2013,left and right clickers (i made that word up) are very nice and feel like they are built with quality.
5,1,20/5/2013,"however, sometimes the mouse freezes for anywhere up to 40 seconds when opening numerous programs or running scans."
6,1,20/5/2013,"i would say it lacks a bit of performance as it should load easy tasks in seconds, it does not always respond when i ask it to and some applications fail to load as quick as they should."
7,1,20/5/2013,intel hd graphics is an integrated graphics card that is basic but still very good.
8,1,20/5/2013,"i play a standard browser based mmo that runs at 40-45 out of 50 frames per second, for me that is very good."
9,1,20/5/2013,"it also handles some games well such as skyrim, dirt and farcry at medium graphics.audio is great, very loud and clear.webcam is very nice, perfect for streaming, very high detailed with no 'jittering."
10,1,20/5/2013,"ports are good, the hdmi works perfectly and looks great with my tv."
11,1,20/5/2013,"windows8 iseasy to use, quickly able to adapt from taking a first time leap from xp all the way to the newest os."
12,1,20/5/2013,"at first i was a bit pessimistic, but i am very happy with it is design, features and ease of use."
13,1,20/5/2013,service and delivery was great from brandx as usual.
14,1,20/5/2013,a very satisfied customer and i will not fail to recommend this product.
15,1,20/5/2013,"the casing on the front of the screen (trim where the webcam is) feels 'plasticy, weak and cheap, the back is ridged and a nice design though."
16,1,20/5/2013,"overall rating from me, 8/10."
17,1,20/5/2013,"some mildly rough patches but still a great system, the price is very decent for what you are getting."
18,2,25/3/2013,"i hoped it would stop after few minutes, but it didn not."
19,2,25/3/2013,"now every time i turn this laptop on, this sound bothers me, especially when i use the laptop in a quiet place."
20,2,25/3/2013,can someone help me to fix this problem so i don not have to return it?
21,3,20/2/2014,"i use the modelx for all my computing needs, the non-touch is definitely worth the money, and that extra hundred for touch is preference."
22,3,20/2/2014,it has common durability.
23,3,20/2/2014,"get windows 8 pro for the extra security (bitlocker), extra speed, and accessibility."
24,3,20/2/2014,"it feels like a small desktop, and ironically has more storage than my windows 7 gateway."
25,4,17/2/2014,the on screen keyboard pops up when you don not ask it to-i didn not buy a tablet i don not need it.
26,4,17/2/2014,doing so will break the computer.
27,4,17/2/2014,everything will run slow and give errors and do lots of weird stuff.
28,4,17/2/2014,"the scan they have you run will come back fine after getting stuck around 98% for a long time and they try to put you off by not calling when they said and giving a super long wait time when you call back, stay on the line!"
29,4,17/2/2014,they need to replace the whole thing and extend the warranty if they are going to release updates that break the computer!-very disgruntled.
30,5,14/2/2014,this one provided what we needed for a good price.
31,6,13/2/2014,my laptop started experiencing scree/display problems within the first week.
32,6,13/2/2014,it appears pixels have stopped working in a small portion of the screen.
33,6,13/2/2014,its small but becomes extremely annoying when watching a movie or trying to do work and there is a small blotch in the middle of someone is face.
34,6,13/2/2014,"pros:works well,fast cons: manufacturer defect."
35,7,13/2/2014,you get what you pay for and this is not an expensive machine.
36,7,13/2/2014,windows 8.1 can only be downoaded by removing an installed update.
37,7,13/2/2014,wanted to upgrade the one i had used for a few days and return the one i had not even opened but due to only 7 day return period brandx refuse to have either of them back.
38,7,13/2/2014,i have 2 expensive bookends.
39,8,13/2/2014,bought the modelx to replace ~10 year old brandx desktop - had not realized the prices for laptops had reached such levels.
40,8,13/2/2014,"only a month in, but quite pleased from an overall perspective."
41,8,13/2/2014,"maybe not as fast or feature rich as higher priced laptops/desktops, but suits our purpose as a basic machine."
42,8,13/2/2014,excellent price/performance ratio
43,9,2/12/2014,"my frist modelx window vista i had it for 10 yrs with out know problems , so my son got us this insp.. 15 when i told him it was the best pc i ever had , he got him one an in 2 yrs he got us this one an sent us his love as he love the brandx perfromice , an that how we got are new pc .. from the hard working brandx pc lap tops .../ thank you brandx for the fine pcs you offer us"
44,10,2/10/2014,this laptop is much lighter than my last one.
45,10,2/10/2014,i have had no problems so far but have always found that customer service with brandx was so easy to access.
46,10,2/10/2014,this has everything that i need and at a decent price.
47,11,2/7/2014,"i think that this computer is fun to use and easy to use pros:so easy to learn to use, light weight"
48,12,2/7/2014,"it is a very good entry level non-touch laptop for people who only use it for email, homework, and web browsing."
49,12,2/7/2014,it is design is clean and easy for people who prefer traditional tower pcs.
50,12,2/7/2014,"pros:ease of use cons:no cd/dvd-r, memory stuck at 4gb max."
51,13,2/6/2014,"this may make a great computer for a high school student, or a college student, but not for someone who does not want a loud clicking sound from the touch pad disrupting meetings."
52,13,2/6/2014,"other than that, it is not a bad buy."
53,13,2/6/2014,"it is my third brandx purchase, and probably my last."
54,14,2/6/2014,this is perfect laptop for everyday use.
55,14,2/6/2014,"i got this for my mom, she knows enough to get the job done."
56,14,2/6/2014,windows 8 has a little learning curve but it is nice.
57,16,2/6/2014,computer is great for schooling and gaming at an affordable price.
58,17,2/6/2014,cannot beat the deal on this lap top.
59,17,2/6/2014,glad i made the purchase.
60,18,2/3/2014,this laptop makes the high-pitched noises from beneath the keyboard.
61,19,2/12/2013,"with a full hd screen and haswell, this ultrabook combines great visuals with better performance and battery life."
62,19,2/12/2013,the build quality and design are unrivaled.
63,20,2/9/2013,will never buy another brandx again.
64,20,2/9/2013,"cons:screen bleeding, loose track pad."
65,22,2/3/2013,i have had several brandx desktops and a couple laptops over the years.
66,22,2/3/2013,all have been very good.
67,22,2/3/2013,"my last brandx was the xps 14 ultrabook and it was very good except i had some overheating problems, yet i had bought it as a ""refurbished"" from the brandx outlet, knowing chances you take with such purchases."
68,22,2/3/2013,"like i said, other then that the xps14 computer was very good, but i decided to sell it and try one more time with a brandx product, even though i had it repaired by brandx......"
69,22,2/3/2013,the good news????
70,22,2/3/2013,it took nearly three weeks to get my order but it was worth the wait and suspense.
71,22,2/3/2013,this new xps 13 computer rocks!!!!!
72,22,2/3/2013,it really is the perfect computer i have dreamed about for years.
73,22,2/3/2013,"computer is lightweight, incredibly mobile, fast, stylish, i could on and on.....you will not be disappointed."
74,22,2/3/2013,even the old windows 7 seemed new and improved the way it ran on this system.
75,22,2/3/2013,i am a very happy customer and i think brandx has hit a new bulls eye with this one.
76,22,2/3/2013,all they need to do is get the word out.
77,23,2/12/2012,this is my fifth and it is fantastic.
78,24,2/9/2012,this is the perfect ultra book out there.
79,24,2/9/2012,brandx has always made excellent computers.
80,24,2/9/2012,the brandx xps 13 is great.
81,24,2/9/2012,this pc boots up in just seconds and it is extremely quiet.
82,24,2/9/2012,perfect for students although it is pretty pricey however this pc excels in everything and it is well worth it.
83,24,2/9/2012,i highly recommend this pc to everyone.
84,24,2/9/2012,the brandx xps 13 is the perfect ultra book.
85,25,2/5/2014,"i am a long time brandx user, and this modelx 3521 laptop is the tenth brandx i have brought home."
86,25,2/5/2014,my daughter is older laptop finally gave up the ghost--after six grueling years of college--so i replaced it with this honey.
87,25,2/5/2014,"it does everything she would want it to do for schoolwork, and then some--surfing the web, writing papers, listening to music, streaming videos, using skype, and considerably faster than her older model."
88,25,2/5/2014,"keep up the good work, brandx."
89,25,2/5/2014,you haven not disappointed us yet!
